data,num_file,L0,L2,Epsilon,RL_iters,RL_rewards,RL_nnz,RL_OG,MF_iters,MF_nnz,MF_OG
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_30.csv,20,0.01717092469691937,0.0,0.42649383705191146,63,-40,10,-0.002224680154691959,69,10,-0.00033446599701570653
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_26.csv,21,0.0030507400399926773,0.0,0.40972966238356723,308,-40,20,0.0,341,21,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_30.csv,22,0.07088464681711555,0.0,0.3936244363984054,37,-16,4,2.9813705491941478e-05,37,4,2.9813705491941478e-05
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_9.csv,23,0.06461961519857225,0.0,0.37815225782925,25,1,5,-0.0018990047469330446,25,5,-0.004161699521802144
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_7.csv,24,0.0033792454047924317,0.0,0.3632882435089055,328,-43,20,0.0,387,20,0.0
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_13.csv,25,0.017315369825494347,0.0,0.34900848835174486,62,-38,10,-0.0007415451011241695,63,10,-0.0007805765650941931
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_31.csv,26,0.003236086691264259,0.0,0.33529002690830023,343,-34,20,0.0,413,20,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_17.csv,27,0.06609515177789635,0.0,0.32211079643102514,28,1,5,-0.005482838949610476,28,5,-0.005482838949610476
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_14.csv,28,0.0032870493430373344,0.0,0.3094496013918295,250,-35,20,0.0,289,20,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_2.csv,29,0.06367767411219628,0.0,0.29728607939432233,25,-2,5,-0.009039741447780603,25,5,-0.007161930723957799
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_3.csv,30,0.015896934812936952,0.0,0.28560066842594045,55,-36,10,-0.0009797064310479208,58,10,-0.004609540554510657
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_4.csv,31,0.06704893717441397,0.0,0.2743745753972958,27,1,5,-0.0060671987691216294,27,5,-0.0060671987691216294
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_7.csv,32,0.015534741944151121,0.0,0.2635897459181464,40,-21,10,-0.0021843707067920074,44,10,-0.00029993432133106225
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_14.csv,33,0.0639651698906138,0.0,0.2532288352613801,24,5,5,-0.0034293527294405857,24,5,-0.0034293527294405857
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_31.csv,34,0.017048881848157556,0.0,0.2432751804683182,68,-42,10,-0.00011521817999810607,75,10,1.8271445713358747e-05
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_21.csv,35,0.003389157703850488,0.0,0.2337127735504723,265,-24,20,0.0,313,20,0.0
